"date","state","smoothed_cases","smoothed_deaths","smoothed_pct_hh_cli_weighted","smoothed_pct_cmnty_cli_weighted","smoothed_pct_hh_fever_weighted","smoothed_pct_hh_sore_throat_weighted","smoothed_pct_hh_cough_weighted","smoothed_pct_hh_shortness_of_breath_weighted","smoothed_pct_self_fever_weighted","smoothed_pct_self_sore_throat_weighted","smoothed_pct_self_anosmia_ageusia_weighted","smoothed_pct_contact_covid_positive_weighted"
2020-04-13,"WA",207.142857142857,18,1.2087,0,1.5655,9.2885,19.9151,6.6466,1.1516,8.0022,1.5765,1.0826
2020-04-13,"WI",143.571428571429,11,1.2268,0,1.5524,8.7285,19.3371,6.49,1.0658,7.3353,1.3623,0.9217
2020-04-13,"WV",39.2857142857143,1.71428571428571,1.2289,0,1.7312,8.5452,20.787,7.7001,1.2167,6.9995,1.6165,0.8216
2020-04-13,"WY",8.28571428571429,0.285714285714286,1.3673,0,1.7745,10.6598,22.743,8.73,1.4898,8.9256,1.7689,1.158
2020-04-14,"AK",6.28571428571429,0.142857142857143,1.1776,0,1.3741,9.6512,19.4715,5.8866,1.0268,8.1627,1.8959,1.083
2020-04-14,"AL",181.857142857143,8.57142857142857,1.3762,0,1.8052,8.8113,21.9393,7.2678,1.2314,7.2817,1.8615,1.1502
2020-04-14,"AR",70.8571428571429,1.71428571428571,1.5929,0,1.7908,8.8078,22.9053,7.8673,1.2025,7.5005,1.7397,0.8809
2020-04-14,"AZ",194.571428571429,9.85714285714286,1.5825,0,1.9197,8.8846,19.5211,7.1708,1.3163,7.269,1.688,1.0543
2020-04-14,"CA",1361.14285714286,71.1428571428571,1.0139,0,1.3142,8.2814,16.6091,5.0627,0.8992,6.7356,1.0838,0.7635
2020-04-14,"CO",345,20,1.7163,0,2.1256,9.5583,19.6972,7.7625,1.6162,7.8763,1.8285,1.4044
2020-04-14,"CT",919.142857142857,104.142857142857,1.6811,0,2.0668,8.5317,16.5984,6.3819,1.1875,6.9922,1.5825,2.2087
2020-04-14,"DC",138.857142857143,7.57142857142857,1.0913,0,1.4571,8.5819,14.5069,4.3988,0.9452,7.2827,1.3936,1.2323
2020-04-14,"DE",140.571428571429,4.42857142857143,1.5281,0,1.9021,7.4331,17.0925,5.9901,1.5136,6.0045,1.3921,1.8092
2020-04-14,"FL",862.714285714286,46.2857142857143,1.0823,0,1.349,7.7192,16.831,5.3837,0.8695,6.4243,1.1797,0.9172
2020-04-14,"GA",760.285714285714,41.1428571428571,1.2388,0,1.4995,8.3383,20.9575,6.2442,1.0953,7.0037,1.4595,1.3681
2020-04-14,"HI",10.8571428571429,0.142857142857143,0.7064,0,0.8866,5.7194,17.2021,4.763,0.6288,5.3473,0.6218,0.6134
2020-04-14,"IA",209.285714285714,5,1.7462,0,2.1556,8.9787,19.7985,6.8433,1.2848,7.4832,1.6557,0.9724
2020-04-14,"ID",33.8571428571429,2.14285714285714,1.4112,0,1.7673,9.5149,20.5374,7.8241,1.4068,7.857,1.5759,1.2098
2020-04-14,"IL",1354.71428571429,79.8571428571429,1.3737,0,1.7975,8.1378,18.2009,6.2429,1.1639,6.5868,1.5277,1.3683
2020-04-14,"IN",497.714285714286,36,1.5953,0,1.98,9.0221,20.6295,7.769,1.298,7.5877,1.8719,1.4501
2020-04-14,"KS",92.2857142857143,5.42857142857143,1.1381,0,1.4246,7.6703,19.3169,7.1229,1.0448,6.594,1.3563,1.0838
2020-04-14,"KY",143.142857142857,7,1.2496,0,1.6763,8.5383,22.0708,7.6928,1.2097,7.2668,1.5377,0.8045
